id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
as1,Movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",Canada,2021-03-30,2014,G,113,min,"Comedy, Drama","a small fishing village must procure a local doctor to secure a lucrative business contract. when unlikely candidate and big city doctor paul lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. as the doctor's time in the village winds to a close, acting mayor murray french has no choice but to pull out all the stops.",99
as2,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",India,2021-03-30,2018,13+,110,min,"Drama, International",a metro family decides to fight a cyber criminal threatening their stability and pride.,37
as3,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",United States,2021-03-30,2017,G,74,min,"Action, Drama, Suspense",after a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction,20
as4,Movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",United States,2021-03-30,2014,G,69,min,Documentary,"pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances.",27
as5,Movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",United Kingdom,2021-03-30,1989,G,45,min,"Drama, Fantasy","teenage matt banting wants to work with a famous but eccentric creature/special effects man named chancey bellows. he gets more than he bargained for when one of the creatures, the giant dragon-like ultragorgon, takes matt under his wing. matt is forced to confront his inner monsters while working out his issues with his father.",75
as6,Movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",United Kingdom,2021-03-30,1989,G,52,min,"Fantasy, Kids","the story unfolds in a an english seaside town, where dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. a stuffed toy dinosaur named dog is dom's only confidant – dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.",74
as7,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",United States,2021-03-30,2017,G,98,min,"Documentary, Special Interest","they are the ""first call, a-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. the 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians.",50
as8,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",United States,2021-03-30,2016,G,131,min,Comedy,"this honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.",84
as9,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",Canada,2021-03-30,2017,G,87,min,"Action, Science Fiction, Suspense",a helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.,46
as10,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",United States,2021-04-01,1994,G,92,min,Drama,"sally goodson is a devoted mother to her autistic son david. abandoned by her husband, sally has managed to keep her son out of ""the system"", until a social worker comes along.",70
as11,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",Canada,2021-04-04,2016,G,88,min,"Adventure, Kids",amanda stumbles upon a hidden village of fairies in the forest. they help her thwart a scheming land developer's plan to trick her mother into selling the family inn.,18
as12,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",United States,2021-04-10,2014,G,93,min,Comedy,"when a car crash leaves frannie immobilized, she is brushed off by everyone she can count on. with nowhere else to turn, frannie reluctantly calls her ex, devon, for help. it isn't long before old wounds emerge and are made worse when devon's crazy new girlfriend shows up.",44
as13,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",France,2021-04-17,2018,G,94,min,"Horror, Suspense","after waking up in an apartment the night after a raging party, sam comes face to face with his new reality, an army of zombies have invaded the streets of paris and he is the lone survivor. petrified with fear, he barricades himself inside the building to survive. he wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all.",35
as14,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",Spain,2021-04-24,2020,G,46,min,"Documentary, Sports","the documentary follows the midfielder’s everyday life for six months. it’s a sincere portrayal by rafinha himself, who opened his home for the cameras to film every moment, even allowing them into the operating room.",6
as15,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",United Kingdom,2021-05-02,2018,G,74,min,Documentary,"discover the meteoric rise of elon musk, the man who is transforming the way we think about travel technology through electric cars, the hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing mars.",87
as16,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",United States,2021-06-03,2019,G,96,min,"Comedy, Drama","summer '03 is the hilarious story of 16-year-old jamie and her family, who are shocked after her calculating grandmother unveils an array of family secrets on her deathbed, one involving religion, the other of a more personal nature. jamie is left to navigate her own love life and her closest friendships in the midst of this family crisis, and one of the most memorable summers of her life.",43
as17,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",,,2016,13+,87,min,"Horror, Science Fiction","when a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.",92
as18,TV Show,Zoo Babies,,Narrator - Gillian Barlett,,,2008,ALL,1,Season,"Kids, Special Interest","a heart warming and inspiring series that welcomes the arrival of new members of the animal kingdom in zoo's around the world, as well as showcasing endangered species being born in captivity, 'zoo babies' is perfect family viewing packaged with fun, colourful graphics designed to capture the attention of little ones.",30
as19,TV Show,Zoë Coombs Marr: Bossy Bottom,,Zoë Coombs Marr,,,2020,18+,1,Season,"Comedy, Talk Show and Variety","zoë coombs marr has been on hiatus. sort of. for six years, she won stacks of awards and acclaim as a hack comic with a neckbeard called dave. whatever. she’s scraped off the neckbeard and is baaaack… as herself. there is no comedian quite like zoë. bossy bottom is a joyously silly return to very serious stand up from the micf most outstanding show winner and edinburgh best show nominee.",49
as20,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",,,2018,R,104,min,Science Fiction,"zoe tells a tale of forbidden love between an engineer and a robot. zoe (léa seydoux) and cole (ewan mcgregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. but their relationship is threatened when zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love.",24
as21,TV Show,Zoboomafoo,,,,,2001,TV-Y,1,Season,Kids,chris and martin kratt bring their enthusiasm for animals to the pre-school set.,15
as22,TV Show,Zo Zo Zombie: Mini-Series,,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",,,2020,TV-Y7,1,Season,"Action, Anime, Comedy","zo zo zombie is our undead hero who, with his best [human] friend isamu, is just trying to do some good in this world but somehow always ends up in pieces. literally.",3
as23,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",,,1941,NR,62,min,"Arts, Entertainment, and Culture, Comedy, Drama","""hey, kids, let's get together and put on a show!"" that's the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son.",75
