id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
ds1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",,2021-11-26,2016,TV-G,23,min,"Animation, Family",join mickey and the gang as they duck the halls!,100
ds2,Movie,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",,2021-11-26,1988,PG,91,min,Comedy,santa claus passes his magic bag to a new st. nic.,17
ds3,Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",United States,2021-11-26,2011,TV-G,23,min,"Animation, Comedy, Family",sid the sloth is on santa's naughty list.,92
ds4,Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",,2021-11-26,2021,TV-PG,41,min,Musical,"this is real life, not just fantasy!",35
ds5,TV Show,The Beatles: Get Back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",,2021-11-25,2021,G,1,Season,"Docuseries, Historical, Music",a three-part documentary from peter jackson capturing a moment in music history with the beatles.,11
ds6,Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",United States,2021-11-24,2021,PG-13,94,min,"Biographical, Documentary",an inside look at the legendary life of adventurer jacques-yves cousteau.,18
ds7,TV Show,Hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",,2021-11-24,2021,TV-14,1,Season,"Action-Adventure, Superhero",clint barton/hawkeye must team up with skilled archer kate bishop to unravel a criminal conspiracy.,98
ds8,TV Show,Port Protection Alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",United States,2021-11-24,2015,TV-14,2,Season,"Docuseries, Reality, Survival",residents of port protection must combat volatile conditions to survive and thrive in alaska.,60
ds9,TV Show,Secrets of the Zoo: Tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",United States,2021-11-24,2019,TV-PG,2,Season,"Animals & Nature, Docuseries, Family",a day in the life at zootampa is anything but ordinary. it's extraordinary!,53
ds10,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,2021-11-19,2008,G,45,min,"Comedy, Family, Musical",celebrate the holiday season with all your favorite muppets.,7
ds11,Movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",,2021-11-19,2020,TV-PG,59,min,Documentary,explore the treasures and rich history of the walt disney archives.,17
ds12,Movie,Puppy for Hanukkah,,,,2021-11-19,2020,TV-G,4,min,"Comedy, Family, Music","check out daveed digg's official music video ""puppy for hanukkah!""",85
ds13,Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,2021-11-19,2007,G,91,min,"Documentary, Family",a groundbreaking company forever changes the face of filmmaking.,98
ds14,TV Show,"Dr. Oakley, Yukon Vet",,"Dr. Michelle Oakley, Zachary Fine",United States,2021-11-17,2013,TV-PG,10,Season,"Action-Adventure, Animals & Nature, Docuseries","meet dr. michelle oakley, vet to pretty much everything that moves in the rugged yukon.",89
ds15,Movie,America the Beautiful,,Michael B. Jordan,,2021-11-12,2021,TV-PG,2,min,Animals & Nature,"epic, grand portrait of the land across four regions on the most extreme continent. coming in 2022.",72
ds16,Movie,Baymax!,,,,2021-11-12,2021,TV-G,1,min,Animation,“baymax!” premieres on disney+ summer 2022.,49
ds17,Movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",,2021-11-12,2021,TV-PG,8,min,"Animation, Comedy, Family",fun-loving sea monster alberto whole-heartedly wants to prove himself to his stoic mentor massimo.,97
ds18,TV Show,Disney Fancy Nancy,,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath","United States, Canada",2021-11-12,2018,TV-PG,3,Season,"Animation, Kids",nancy makes every day extraordinary!,21
ds19,TV Show,Disney Intertwined,,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",,2021-11-12,2021,TV-PG,1,Season,"Comedy, Coming of Age, Drama",allegra is ready to change the past in order to reach her dream.,46
ds20,Movie,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",United States,2021-11-12,2007,PG,110,min,"Comedy, Family, Fantasy",an animated princess winds up in the real world of modern-day manhattan.,23
ds21,Movie,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,2021-11-12,2014,G,8,min,"Animation, Comedy, Drama",one man's love life seen through the eyes of his dog.,4
ds22,Movie,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",United States,2021-11-12,2015,G,11,min,"Animation, Family, Fantasy",elsa wants to give anna the best birthday party ever.,8
