id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
hs1,Movie,Ricky Velez: Here's Everything,,,,2021-10-24,2021,TV-MA,,,"Comedy, Stand Up",​comedian ricky velez bares it all with his honest lens and down to earth perspective in his first-ever hbo stand-up special.,48
hs2,Movie,Silent Night,,,,2021-10-23,2020,G,94,min,"Crime, Drama, Thriller","mark, a low end south london hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by alan, his former cellmate, to do one final job.",8
hs3,Movie,The Marksman,,,,2021-10-23,2021,PG-13,108,min,"Action, Thriller",a hardened arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,8
hs4,Movie,Gaia,,,,2021-10-22,2021,R,97,min,Horror,a forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,33
hs5,Movie,Settlers,,,,2021-10-22,2021,G,104,min,"Science Fiction, Thriller",mankind's earliest settlers on the martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,24
hs6,TV Show,The Halloween Candy Magic Pet,,,,2021-10-22,2021,G,1,Season,"Family, Kids","join mila and morphle on a mystery-filled halloween adventure! jam packed with morphs, costumes, twists turns and spooky morphing fun. this 22-minute halloween special will be a kooky, spooky ride! we meet new magic pet candyray who can turn anything or anyone into candy! we also meet felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. there's a race against time to decorate the magic pet center in time for the halloweenist house contest, but with orphle and the bandits getting in their way...it won't be easy. perhaps candyray holds the key!",45
hs7,Movie,The Evil Next Door,,,,2021-10-21,2020,G,88,min,"Horror, Thriller","new to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son lucas. soon, strange noises start coming from the empty house adjoining theirs. also, who is lucas’s new friend?",37
hs8,TV Show,The Next Thing You Eat,,,,2021-10-21,2021,G,1,Season,"Cooking & Food, Documentaries, Lifestyle & Culture","with the unique insights and experience of ugly delicious creators morgan neville and david chang take a tangy look at food and our relationship to it past, present and future. why do we eat what we eat and are we missing something better? what will we be eating in the future and why?",76
hs9,TV Show,Queens,,,,2021-10-20,2021,TV-14,1,Season,"Drama, Music",four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,57
hs10,TV Show,The Bachelorette,,,United States,2021-10-20,2003,TV-14,3,Season,"Reality, Romance","abc's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",79
hs11,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,,2021-10-19,2021,G,1,Season,"Music, News",the abc news special explores the inspiring rise of women in hip-hop and is narrated by cheryl “salt” james of salt-n-pepa.,28
hs12,Movie,Dream Horse,,,,2021-10-18,2020,PG,113,min,"Comedy, Drama",the film tells the inspiring true story of a small town bartender who decides to breed a racehorse. the community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,34
hs13,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,2021-10-18,2021,G,,,News,george stephanopoulos sits down with former mi6 spy christopher steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the steele dossier.,95
